,Timestamp,Accel,Gyr,Label,Sep
127,13:25:40.347055,[-1439 -2318   765 -4473   355  -775 -1148 -1814   913],[-3689  1977   -47  1942  -499   -60 -1602    97 -1768],fists,False
128,13:25:40.356940,[-1263 -2185   769 -4641   826  -653  -826 -1744   943],[-2774  1432    11  1817   -43  -241 -1602    97 -1768],fists,False
129,13:25:40.367724,[-1214 -2146   431 -4641   826  -653  -980 -1919   883],[-2119  1083    -9  1896   410  -310 -1602    97 -1768],fists,False
130,13:25:40.378714,[-1001 -2140   113 -4641   826  -653  -700 -1688   786],[-1730   516  -245  1770   168  -412 -1217  -145  -576],fists,False
131,13:25:40.386587,[-1023 -1943  -252 -4641   826  -653  -818 -1851   720],[-1844   469  -391  2036    74  -280 -1217  -145  -576],fists,False
132,13:25:40.394883,[ -947 -1815  -525 -4641   826  -653  -774 -1833   503],[-1748   348  -503  2013    68  -131 -1217  -145  -576],fists,False
133,13:25:40.404302,[ -948 -1522 -1154 -4810  1088  -187  -883 -1878   330],[-1963   548  -770  1776   110   -69 -1217  -145  -576],fists,False
134,13:25:40.413341,[-1381 -1798  -610 -4810  1088  -187 -1048 -2276   530],[-1805   299  -752  2320    25  -273 -1217  -145  -576],fists,False
135,13:25:40.421309,[-1316 -1952  -993 -4810  1088  -187  -889 -2292   645],[-1599    -5  -850  2272   -64  -535 -1330  -745   674],fists,False
136,13:25:40.430242,[-1254 -2194  -651 -4810  1088  -187  -893 -2503   652],[-1462    97  -586  2204    -5  -504 -1330  -745   674],fists,False
137,13:25:40.438221,[-1183 -1443  -249 -4326  1328   356  -623 -2619   516],[-1449  -209  -647  2142    -3  -736 -1330  -745   674],fists,False
138,13:25:40.446198,[-1146 -2046  -635 -4326  1328   356  -336 -2120   499],[ -901  -138  -541  2423   223  -741 -1330  -745   674],fists,False
139,13:25:40.454177,[ -768 -1884  -561 -4326  1328   356  -434 -1894   573],[-1113    -3  -293  2043   211  -746  -625 -1250  1036],fists,False
140,13:25:40.462156,[-1134 -2014  -279 -4326  1328   356  -543 -1951   455],[ -961    96  -271  1980  -233   -64  -625 -1250  1036],fists,False
141,13:25:40.470134,[ -702 -1159 -1147 -4326  1328   356  -692 -1971   357],[ -693   323  -264  1884    34  -407  -625 -1250  1036],fists,False
142,13:25:40.478112,[-1000 -1617  -431 -3472  1287   283  -881 -2081   227],[ -762   165  -299  1719   -34  -529  -625 -1250  1036],fists,False
143,13:25:40.486091,[ -803 -1424  -835 -3472  1287   283  -536 -1715   220],[ -740   -51  -407  1802   110  -451  -625 -1250  1036],fists,False
144,13:25:40.494070,[ -855 -1374  -806 -3472  1287   283  -666 -1610   305],[ -781   -31  -489  1818   -32  -476   202 -1467   700],fists,False
145,13:25:40.501052,[ -827 -1315  -872 -3472  1287   283  -552 -1636   266],[ -943   -84  -517  1903    14  -521   202 -1467   700],fists,False
146,13:25:40.511017,[ -927 -1320 -1148 -3472  1287   283  -745 -2041   215],[-1010    26  -442  2294   -97  -589   202 -1467   700],fists,False
147,13:25:40.518873,[-1309 -1595 -1126 -2645  1068    68  -884 -2397   248],[ -989   -54  -261  2499   -91  -771   202 -1467   700],fists,False
148,13:25:40.527939,[-1351 -1895 -1181 -2645  1068    68  -861 -2692   309],[ -852  -217   -88  2580  -111  -914   202 -1467   700],fists,False
149,13:25:40.536912,[-1251 -2016 -1240 -2645  1068    68  -609 -2752   375],[ -622  -328   109  2401    12 -1088   635 -1330   375],fists,False
150,13:25:40.545584,[ -994 -2050 -1202 -2645  1068    68  -459 -2514   409],[ -425  -340   231  2020    70 -1053   635 -1330   375],fists,False
151,13:25:40.553616,[ -821 -1919 -1075 -1628   752    79  -319 -2184   408],[ -297  -300   206  1814    12  -910   635 -1330   375],fists,False
152,13:25:40.562596,[ -602 -1613 -1124 -1628   752    79  -272 -1779   303],[ -299  -154   153  1605    -7  -727   635 -1330   375],fists,False
153,13:25:40.572371,[ -522 -1261 -1046 -1628   752    79  -332 -1553   228],[-420  100   47 1496  -19 -612  888 -849  325],fists,False
154,13:25:40.580273,[ -534 -1165  -962 -1628   752    79  -353 -1400   224],[-671  262  -36 1480  -65 -586  888 -849  325],fists,False
155,13:25:40.592397,[ -715 -1159  -904 -1628   752    79  -496 -1563   217],[-843  426 -150 1799  -14 -581  888 -849  325],fists,False
156,13:25:40.600173,[ -879 -1405  -942  -937   340    80  -643 -1865   207],[-856  212 -273 1949 -189 -686  888 -849  325],fists,False
157,13:25:40.607728,[-1081 -1504 -1090  -937   340    80  -875 -2136   120],[-740  106 -328 2095 -136 -656  888 -849  325],fists,False
158,13:25:40.616879,[-1205 -1596 -1167  -937   340    80  -873 -2319   146],[-576  -48 -297 2243 -138 -756  799 -447  295],fists,False
159,13:25:40.626278,[-1340 -1706 -1151  -937   340    80  -867 -2472   195],[-322 -231 -225 2298 -193 -908  799 -447  295],fists,False
160,13:25:40.634397,[-1113 -1685 -1202  -745    95    97  -588 -2203   216],[-227 -366  -83 1934  -26 -894  799 -447  295],fists,False
161,13:25:40.641858,[ -892 -1621 -1026  -745    95    97  -401 -2109   310],[-155 -370  -39 1811  -25 -990  799 -447  295],fists,False
162,13:25:40.650826,[ -669 -1563 -1129  -745    95    97  -267 -1912   290],[-149 -266  -16 1610  -40 -906  559 -328  276],fists,False
